Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
000QML1700000000019X,Suswara_CNA_Test,null,MTT_DP,1,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-07 16:15:56.0,2023-11-07 16:16:10.0,SUCCESS,0.003889,2023-11-07 17:13:18.0,0
000QML17000000000182,M_Suswara_Oracle_2_Oracle,null,MTT_DP,1,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-07 16:14:41.0,2023-11-07 16:14:52.0,ERROR,0.003056,2023-11-07 17:13:18.0,0
000QML1700000000019X,Suswara_CNA_Test,null,MTT_DP,2,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-07 17:39:46.0,2023-11-07 17:40:00.0,SUCCESS,0.003889,2023-11-07 18:12:21.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,1,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.856803327391563,2023-11-08 08:44:33.0,2023-11-08 08:46:02.0,ERROR,0.024722,2023-11-08 09:11:39.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,2,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.128557213930348,2023-11-08 09:24:37.0,2023-11-08 09:26:10.0,SUCCESS,0.025833,2023-11-08 10:11:43.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,3,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.059045725646123,2023-11-08 09:37:03.0,2023-11-08 09:40:31.0,SUCCESS,0.057778,2023-11-08 10:11:43.0,0
000QML0Z0000000001HE,Mapping36,null,MTT_TEST,1,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.86342823014135,2023-11-08 17:10:14.0,2023-11-08 17:11:03.0,SUCCESS,0.013611,2023-11-08 17:12:05.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,6,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.481120826709062,2023-11-08 16:34:05.0,2023-11-08 16:42:18.0,ERROR,0.136944,2023-11-08 17:12:05.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,5,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,0.0,2023-11-08 16:26:45.0,2023-11-08 16:26:58.0,ERROR,0.003611,2023-11-08 17:12:05.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,4,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.381253707731857,2023-11-08 16:19:19.0,2023-11-08 16:26:11.0,ERROR,0.114444,2023-11-08 17:12:05.0,0
